,Date,Open,High,Low,Close,Volume,Change
0,2007-01-17,4773,5481,4446,5483,1513499,
1,2007-01-18,5358,5407,4676,4678,653237,-0.14681743571037753
2,2007-01-19,4504,4510,4041,4118,334196,-0.11970927746900384
3,2007-01-22,4213,4334,4090,4133,220008,0.0036425449247208253
4,2007-01-23,4089,4270,3968,4022,147991,-0.026857004597144907
5,2007-01-24,4028,4086,3962,4022,89705,0.0
6,2007-01-25,4041,4266,4017,4118,109600,0.023868722028841383
7,2007-01-26,4168,4202,4057,4168,64567,0.012141816415735862
8,2007-01-29,4213,4261,4148,4178,60510,0.002399232245681393
9,2007-01-30,4140,4198,4032,4056,72167,-0.02920057443752988
10,2007-01-31,3998,4174,3998,4037,70170,-0.004684418145956659
11,2007-02-01,4032,4067,4017,4042,28376,0.001238543472875886
12,2007-02-02,4056,4056,3988,4022,41273,-0.004948045522018774
13,2007-02-05,4061,4143,3997,4148,68306,0.03132769766285426
14,2007-02-06,4194,4432,4182,4280,120580,0.03182256509161041
15,2007-02-07,4282,4462,4243,4392,106355,0.026168224299065512
16,2007-02-08,4364,4555,4364,4475,87907,0.018897996357012836
17,2007-02-09,4412,4616,4412,4512,71328,0.008268156424581008
18,2007-02-12,4450,4519,4432,4512,39506,0.0
19,2007-02-13,4476,4749,4476,4684,161307,0.03812056737588643
20,2007-02-14,4749,4773,4562,4612,77997,-0.015371477369769404
21,2007-02-15,4539,4623,4539,4596,30682,-0.003469210754553309
22,2007-02-16,4714,4968,4603,4776,131167,0.039164490861618884
23,2007-02-20,4734,5480,4734,5460,544564,0.14321608040200995
24,2007-02-21,5307,5601,5236,5264,252422,-0.03589743589743588
25,2007-02-22,5261,5431,5163,5362,137845,0.018617021276595702
26,2007-02-23,5358,5676,5261,5507,318627,0.027042148452070203
27,2007-02-26,5601,5820,5454,5460,256012,-0.008534592337025582
28,2007-02-27,5407,5554,5114,5119,210473,-0.062454212454212454
29,2007-02-28,4796,5016,4627,4875,125109,-0.047665559679624936
30,2007-03-02,4773,4943,4773,4850,95476,-0.00512820512820511
31,2007-03-05,4749,4846,4642,4656,112428,-0.040000000000000036
32,2007-03-06,4627,4967,4627,4948,75923,0.0627147766323024
33,2007-03-07,4967,5090,4895,4923,84331,-0.005052546483427678
34,2007-03-08,5017,5237,5017,5215,126762,0.05931342677229323
35,2007-03-09,5212,5407,5138,5190,82318,-0.0047938638542665
36,2007-03-12,5189,5261,5017,5143,146786,-0.009055876685934439
37,2007-03-13,5189,5308,5138,5143,112835,0.0
38,2007-03-14,5065,5113,4895,5020,87256,-0.023916002333268516
39,2007-03-15,5042,5261,5042,5190,145820,0.03386454183266929
40,2007-03-16,5189,5261,5091,5095,107337,-0.01830443159922923
41,2007-03-19,5091,5308,5042,5167,294151,0.01413150147203135
42,2007-03-20,5261,5919,5211,5923,793385,0.14631314108767168
43,2007-03-21,6162,6553,5868,6240,1089789,0.05352017558669586
44,2007-03-22,6186,6722,6089,6727,570203,0.07804487179487185
45,2007-03-23,6820,6967,6113,6118,616517,-0.09053069719042661
46,2007-03-26,6113,6308,5968,6191,331789,0.011932003922850543
47,2007-03-27,6259,6429,6113,6386,375887,0.031497334840898006
48,2007-03-28,6356,6456,5943,6167,413075,-0.034293767616661475
49,2007-03-29,6309,6479,6162,6434,304171,0.04329495702934971
50,2007-03-30,6601,7113,6504,6604,804054,0.026422132421510813
51,2007-04-02,6722,6846,6553,6824,396594,0.0333131435493641
52,2007-04-03,6967,7088,6820,6848,439470,0.003516998827667095
53,2007-04-04,6918,6941,6699,6897,207969,0.00715537383177578
54,2007-04-05,6917,6917,6600,6630,158894,-0.038712483688560284
