,Date,Open,High,Low,Close,Volume,Change
0,2022-04-28,41600,45500,41000,43450,184729,
1,2022-04-29,43750,45250,43600,44850,33628,0.03222094361334871
2,2022-05-02,44800,44800,43750,44300,17659,-0.012263099219620988
3,2022-05-03,43500,43650,42250,42300,27285,-0.04514672686230248
4,2022-05-04,42600,43100,42250,42800,9533,0.011820330969267046
5,2022-05-06,43050,43050,41200,42100,8886,-0.016355140186915862
6,2022-05-09,41800,41800,40650,41000,11832,-0.026128266033254133
7,2022-05-10,40650,41450,39850,41000,6816,0.0
8,2022-05-11,40400,41000,40000,41000,4831,0.0
9,2022-05-12,41000,41100,40200,40300,7641,-0.017073170731707332
10,2022-05-13,39900,41250,39900,40700,2478,0.00992555831265518
11,2022-05-16,40700,41000,40200,40200,2371,-0.012285012285012331
