,Symbol,Name,Market
0,060310,3S,KOSDAQ
1,095570,AJ네트웍스,KOSPI
2,006840,AK홀딩스,KOSPI
3,054620,APS홀딩스,KOSDAQ
4,265520,AP시스템,KOSDAQ
5,211270,AP위성,KOSDAQ
6,027410,BGF,KOSPI
7,282330,BGF리테일,KOSPI
8,032790,BNGT,KOSDAQ
9,138930,BNK금융지주,KOSPI
10,001460,BYC,KOSPI
11,013720,CBI,KOSDAQ
12,001040,CJ,KOSPI
13,079160,CJ CGV,KOSPI
14,035760,CJ ENM,KOSDAQ
15,311690,CJ 바이오사이언스,KOSDAQ
16,000120,CJ대한통운,KOSPI
17,011150,CJ씨푸드,KOSPI
18,097950,CJ제일제당,KOSPI
19,051500,CJ프레시웨이,KOSDAQ
20,058820,CMG제약,KOSDAQ
21,023460,CNH,KOSDAQ
22,056730,CNT85,KOSDAQ
23,065770,CS,KOSDAQ
24,083660,CSA 코스믹,KOSDAQ
25,000590,CS홀딩스,KOSPI
26,012030,DB,KOSPI
27,404950,DB금융스팩10호,KOSDAQ
28,367340,DB금융스팩8호,KOSDAQ
29,367360,DB금융스팩9호,KOSDAQ
30,016610,DB금융투자,KOSPI
31,005830,DB손해보험,KOSPI
32,000990,DB하이텍,KOSPI
33,139130,DGB금융지주,KOSPI
34,001530,DI동일,KOSPI
35,000210,DL,KOSPI
36,001880,DL건설,KOSPI
37,375500,DL이앤씨,KOSPI
38,068790,DMS,KOSDAQ
39,004840,DRB동일,KOSPI
40,241520,DSC인베스트먼트,KOSDAQ
41,155660,DSR,KOSPI
42,069730,DSR제강,KOSPI
43,017940,E1,KOSPI
44,245620,EDGC,KOSDAQ
45,037370,EG,KOSDAQ
46,278990,EMB,KONEX
47,365550,ESR켄달스퀘어리츠,KOSPI
48,050120,ES큐브,KOSDAQ
49,084180,EV수성,KOSDAQ
50,383220,F&F,KOSPI
51,007700,F&F홀딩스,KOSPI
52,214270,FSN,KOSDAQ
53,130500,GH신소재,KOSDAQ
54,114090,GKL,KOSPI
55,900290,GRT,KOSDAQ
56,078930,GS,KOSPI
57,083450,GST,KOSDAQ
58,006360,GS건설,KOSPI
59,001250,GS글로벌,KOSPI
60,007070,GS리테일,KOSPI
61,297890,HB솔루션,KOSDAQ
62,078150,HB테크놀러지,KOSDAQ
63,012630,HDC,KOSPI
64,039570,HDC랩스,KOSPI
65,089470,HDC현대EP,KOSPI
66,294870,HDC현대산업개발,KOSPI
67,267250,HD현대,KOSPI
68,097230,HJ중공업,KOSPI
69,195940,HK이노엔,KOSDAQ
70,028300,HLB,KOSDAQ
71,003580,HLB글로벌,KOSPI
72,343090,HLB사이언스,KONEX
73,067630,HLB생명과학,KOSDAQ
74,047920,HLB제약,KOSDAQ
75,115450,HLB테라퓨틱스,KOSDAQ
76,011200,HMM,KOSPI
77,036640,HRS,KOSDAQ
78,082740,HSD엔진,KOSPI
79,335870,IBKS제12호스팩,KOSDAQ
80,351340,IBKS제13호스팩,KOSDAQ
81,388790,IBKS제16호스팩,KOSDAQ
82,405350,IBKS제17호스팩,KOSDAQ
83,003560,IHQ,KOSPI
84,095340,ISC,KOSDAQ
85,099520,ITX-AI,KOSDAQ
86,175330,JB금융지주,KOSPI
87,950170,JTC,KOSDAQ
88,234080,JW생명과학,KOSPI
89,067290,JW신약,KOSDAQ
90,001060,JW중외제약,KOSPI
91,096760,JW홀딩스,KOSPI
92,035900,JYP Ent.,KOSDAQ
93,318000,KBG,KOSDAQ
94,024840,KBI메탈,KOSDAQ
95,105560,KB금융,KOSPI
96,024120,KB오토시스,KOSDAQ
97,002380,KCC,KOSPI
98,021320,KCC건설,KOSDAQ
99,344820,KCC글라스,KOSPI
100,036670,KCI,KOSDAQ
101,009070,KCTC,KOSPI
102,009440,KC그린홀딩스,KOSPI
103,112190,KC산업,KONEX
104,119650,KC코트렐,KOSPI
105,044180,KD,KOSDAQ
106,092220,KEC,KOSPI
107,151860,KG ETS,KOSDAQ
108,046440,KG모빌리언스,KOSDAQ
109,016380,KG스틸,KOSPI
110,035600,KG이니시스,KOSDAQ
111,001390,KG케미칼,KOSPI
112,226360,KH 건설,KOSDAQ
113,111870,KH 전자,KOSDAQ
114,033180,KH 필룩스,KOSPI
115,060720,KH바텍,KOSDAQ
116,001940,KISCO홀딩스,KOSPI
117,122450,KMH,KOSDAQ
118,052900,KMH하이텍,KOSDAQ
119,058400,KNN,KOSDAQ
120,114450,KPX생명과학,KOSDAQ
121,025000,KPX케미칼,KOSPI
122,092230,KPX홀딩스,KOSPI
123,000040,KR모터스,KOSPI
124,044450,KSS해운,KOSPI
125,030200,KT,KOSPI
126,033780,KT&G,KOSPI
127,058850,KTcs,KOSPI
128,058860,KTis,KOSPI
129,060370,KT서브마린,KOSDAQ
130,093050,LF,KOSPI
131,003550,LG,KOSPI
132,034220,LG디스플레이,KOSPI
133,051900,LG생활건강,KOSPI
134,373220,LG에너지솔루션,KOSPI
135,032640,LG유플러스,KOSPI
136,011070,LG이노텍,KOSPI
137,066570,LG전자,KOSPI
138,037560,LG헬로비전,KOSPI
139,051910,LG화학,KOSPI
140,079550,LIG넥스원,KOSPI
141,006260,LS,KOSPI
142,010120,LS ELECTRIC,KOSPI
143,000680,LS네트웍스,KOSPI
144,229640,LS전선아시아,KOSPI
145,108320,LX세미콘,KOSDAQ
146,001120,LX인터내셔널,KOSPI
147,108670,LX하우시스,KOSPI
148,383800,LX홀딩스,KOSPI
149,023150,MH에탄올,KOSPI
150,035420,NAVER,KOSPI
151,160550,NEW,KOSDAQ
152,053290,NE능률,KOSDAQ
153,181710,NHN,KOSPI
154,104200,NHN벅스,KOSDAQ
155,060250,NHN한국사이버결제,KOSDAQ
156,400760,NH올원리츠,KOSPI
157,005940,NH투자증권,KOSPI
158,338100,NH프라임리츠,KOSPI
159,034310,NICE,KOSPI
160,030190,NICE평가정보,KOSDAQ
161,008260,NI스틸,KOSPI
162,004250,NPC,KOSPI
163,010060,OCI,KOSPI
164,178920,PI첨단소재,KOSPI
165,024940,PN풍년,KOSDAQ
166,005490,POSCO홀딩스,KOSPI
167,218410,RFHIC,KOSDAQ
168,327260,RF머트리얼즈,KOSDAQ
169,091340,S&K폴리텍,KOSDAQ
170,010950,S-Oil,KOSPI
171,019550,SBI인베스트먼트,KOSDAQ
172,950110,SBI핀테크솔루션즈,KOSDAQ
173,034120,SBS,KOSPI
174,046140,SBS콘텐츠허브,KOSDAQ
175,151910,SBW생명과학,KOSDAQ
176,036120,SCI평가정보,KOSDAQ
177,099220,SDN,KOSDAQ
178,036540,SFA반도체,KOSDAQ
179,255220,SG,KOSDAQ
180,040610,SG&G,KOSDAQ
181,049470,SGA,KOSDAQ
182,184230,SGA솔루션즈,KOSDAQ
183,005090,SGC에너지,KOSPI
184,016250,SGC이테크건설,KOSDAQ
185,001380,SG글로벌,KOSPI
186,004060,SG세계물산,KOSPI
187,001770,SHD,KOSPI
188,002360,SH에너지화학,KOSPI
189,009160,SIMPAC,KOSPI
190,123700,SJM,KOSPI
191,025530,SJM홀딩스,KOSPI
192,034730,SK,KOSPI
193,337450,SK5호스팩,KOSDAQ
194,340350,SK6호스팩,KOSDAQ
195,011790,SKC,KOSPI
196,018670,SK가스,KOSPI
197,001740,SK네트웍스,KOSPI
198,006120,SK디스커버리,KOSPI
199,210980,SK디앤디,KOSPI
200,068400,SK렌터카,KOSPI
201,395400,SK리츠,KOSPI
202,302440,SK바이오사이언스,KOSPI
203,326030,SK바이오팜,KOSPI
204,402340,SK스퀘어,KOSPI
205,260870,SK시그넷,KONEX
206,361610,SK아이이테크놀로지,KOSPI
207,096770,SK이노베이션,KOSPI
208,001510,SK증권,KOSPI
209,285130,SK케미칼,KOSPI
210,017670,SK텔레콤,KOSPI
211,000660,SK하이닉스,KOSPI
212,048550,SM C&C,KOSDAQ
213,063440,SM Life Design,KOSDAQ
214,950180,SNK,KOSDAQ
215,064960,SNT모티브,KOSPI
216,100840,SNT에너지,KOSPI
217,003570,SNT중공업,KOSPI
218,036530,SNT홀딩스,KOSPI
219,005610,SPC삼립,KOSPI
220,011810,STX,KOSPI
221,077970,STX엔진,KOSPI
222,071970,STX중공업,KOSPI
223,002820,SUN&L,KOSPI
224,289080,SV인베스트먼트,KOSDAQ
225,084870,TBH글로벌,KOSPI
226,002710,TCC스틸,KOSPI
227,089230,THE E&M,KOSDAQ
228,161570,THE MIDONG,KOSDAQ
229,192410,THQ,KOSDAQ
230,032540,TJ미디어,KOSDAQ
231,022220,TKG애강,KOSDAQ
232,069260,TKG휴켐스,KOSPI
233,048770,TPC,KOSDAQ
234,246690,TS인베스트먼트,KOSDAQ
235,317240,TS트릴리온,KOSDAQ
236,002900,TYM,KOSPI
237,038340,UCI,KOSDAQ
238,073570,WI,KOSDAQ
239,024070,WISCOM,KOSPI
240,057030,YBM넷,KOSDAQ
241,037270,YG PLUS,KOSPI
242,040300,YTN,KOSDAQ
243,051390,YW,KOSDAQ
244,052220,iMBC,KOSDAQ
245,079940,가비아,KOSDAQ
246,078890,가온미디어,KOSDAQ
247,000500,가온전선,KOSPI
248,036620,감성코퍼레이션,KOSDAQ
249,000860,강남제비스코,KOSPI
250,217730,강스템바이오텍,KOSDAQ
251,035250,강원랜드,KOSPI
252,114190,강원에너지,KOSDAQ
253,094480,갤럭시아머니트리,KOSDAQ
254,011420,갤럭시아에스엠,KOSPI
255,039240,경남스틸,KOSDAQ
256,053950,경남제약,KOSDAQ
257,002100,경농,KOSPI
258,009450,경동나비엔,KOSPI
259,267290,경동도시가스,KOSPI
260,012320,경동인베스트,KOSPI
261,011040,경동제약,KOSDAQ
262,000050,경방,KOSPI
263,214390,경보제약,KOSPI
264,012610,경인양행,KOSPI
265,009140,경인전자,KOSPI
266,024910,경창산업,KOSDAQ
267,013580,계룡건설,KOSPI
268,012200,계양전기,KOSPI
269,002140,고려산업,KOSPI
270,198440,고려시멘트,KOSDAQ
271,049720,고려신용정보,KOSDAQ
272,010130,고려아연,KOSPI
273,002240,고려제강,KOSPI
274,014570,고려제약,KOSDAQ
275,348150,고바이오랩,KOSDAQ
276,098460,고영,KOSDAQ
277,035290,골드앤에스,KOSDAQ
278,038530,골드퍼시픽,KOSDAQ
279,900280,골든센츄리,KOSDAQ
280,215000,골프존,KOSDAQ
281,121440,골프존뉴딘홀딩스,KOSDAQ
282,183410,골프존데카,KONEX
283,366030,공구우먼,KOSDAQ
284,076340,관악산업,KONEX
285,009290,광동제약,KOSPI
286,014200,광림,KOSDAQ
287,017040,광명전기,KOSPI
288,029480,광무,KOSDAQ
289,017900,광전자,KOSPI
290,037710,광주신세계,KOSPI
291,026910,광진실업,KOSDAQ
292,355150,교보10호스팩,KOSDAQ
293,397880,교보11호스팩,KOSDAQ
294,331520,교보9호스팩,KOSDAQ
295,030610,교보증권,KOSPI
296,339770,교촌에프앤비,KOSPI
297,053270,구영테크,KOSDAQ
298,007690,국도화학,KOSPI
299,005320,국동,KOSPI
300,001140,국보,KOSPI
301,066620,국보디자인,KOSDAQ
302,043650,국순당,KOSDAQ
303,006050,국영지앤엠,KOSDAQ
304,060480,국일신동,KOSDAQ
305,078130,국일제지,KOSDAQ
306,307750,국전약품,KOSDAQ
307,002720,국제약품,KOSPI
308,243870,굿센,KONEX
309,035080,그래디언트,KOSDAQ
310,204020,그리티,KOSDAQ
311,083420,그린케미칼,KOSPI
312,186230,그린플러스,KOSDAQ
313,014530,극동유화,KOSPI
314,900070,글로벌에스엠,KOSDAQ
315,204620,글로벌텍스프리,KOSDAQ
316,019660,글로본,KOSDAQ
317,014280,금강공업,KOSPI
318,053260,금강철강,KOSDAQ
319,008870,금비,KOSPI
320,001570,금양,KOSPI
321,002990,금호건설,KOSPI
322,011780,금호석유,KOSPI
323,214330,금호에이치티,KOSPI
324,001210,금호전기,KOSPI
325,073240,금호타이어,KOSPI
326,036190,금화피에스시,KOSDAQ
327,049080,기가레인,KOSDAQ
328,035460,기산텔레콤,KOSDAQ
329,092440,기신정기,KOSPI
330,000270,기아,KOSPI
331,024110,기업은행,KOSPI
332,013700,까뮤이앤씨,KOSPI
333,308100,까스텔바작,KOSDAQ
334,004540,깨끗한나라,KOSPI
335,187790,나노,KOSDAQ
336,286750,나노브릭,KOSDAQ
337,121600,나노신소재,KOSDAQ
338,247660,나노씨엠에스,KOSDAQ
339,039860,나노엔텍,KOSDAQ
340,091970,나노캠텍,KOSDAQ
341,244880,나눔테크,KONEX
342,288490,나라소프트,KONEX
343,051490,나라엠앤디,KOSDAQ
344,137080,나래나노텍,KOSDAQ
345,190510,나무가,KOSDAQ
346,242040,나무기술,KOSDAQ
347,089600,나스미디어,KOSDAQ
348,293580,나우IB,KOSDAQ
349,257990,나우코스,KONEX
350,138610,나이벡,KOSDAQ
351,130580,나이스디앤비,KOSDAQ
352,036800,나이스정보통신,KOSDAQ
353,267320,나인테크,KOSDAQ
354,001260,남광토건,KOSPI
355,008350,남선알미늄,KOSPI
356,004270,남성,KOSPI
357,003920,남양유업,KOSPI
358,025860,남해화학,KOSPI
359,111710,남화산업,KOSDAQ
360,091590,남화토건,KOSDAQ
361,168330,내츄럴엔도텍,KOSDAQ
362,094860,네오리진,KOSDAQ
363,253590,네오셈,KOSDAQ
